,,,,,,,,,," 16,542,750,383 "
Accounting Period Year,Accounting Period Month,Month Manufactured,Day Manufactured,Year Manufactured,Plant of Manufacture,Train,Plant Code,Trade Product Code,Value Center Code, Inventory Net Weight LBS 
2013,02,September,11,2012,Plant W,4A,1152,00113656,00009995," 646,710 "
2013,02,September,11,2012,Plant W,4D,1152,00113656,00009995," 632,080 "
2013,02,September,14,2012,Plant R,2L,1113,00092943,00009995," 630,915 "
2013,02,September,15,2012,Plant C,32,1111,00095837,00021701," 841,977 "
2013,02,September,17,2012,Plant T,3C,1117,00092909,00009995," 618,821 "
2013,02,September,18,2012,Plant T,3C,1136,00092958,00009995," 633,822 "
2013,02,September,18,2012,Plant T,3E,1140,00092958,00009995," 205,834 "
2013,02,September,19,2012,Plant G,2A,1137,00079620,00009995," 422,990 "
2013,02,September,19,2012,Plant T,3B,1140,00092958,00009995," 645,777 "
2013,02,September,20,2012,Plant T,3A,1136,00092961,00009995," 637,180 "
2013,02,September,22,2012,Plant C,13,1126,00063108,00007119," 388,101 "
2013,02,September,23,2012,Plant W,2D,1152,00013583,00009995," 612,673 "
2013,02,September,23,2012,Plant W,2F,1152,00013583,00009995," 642,863 "
2013,02,September,24,2012,Plant R,1C,1124,00086301,00009995," 639,657 "
2013,02,September,24,2012,Plant R,1F,1124,00086301,00009995," 637,617 "
2013,02,September,27,2012,Plant C,11,1126,00048091,00007119," 388,542 "
2013,02,September,28,2012,Plant R,2H,1113,00086302,00009995," 639,657 "
2013,02,September,28,2012,Plant T,2B,1149,00092973,00009995," 605,403 "
2013,02,September,28,2012,Plant T,2C,1149,00092973,00009995," 701,437 "
2013,02,September,28,2012,Plant W,4A,1152,00106192,00009995," 710,762 "
2013,02,October,01,2012,Plant U,1C,1150,00093730,00007961," 582,284 "
2013,02,October,03,2012,Plant E,NC,1128,00120943,00010269," 779,377 "
2013,02,October,03,2012,Plant T,3D,1164,00086114,00010270," 857,046 "
2013,02,October,03,2012,Plant T,3E,1164,00086114,00010270," 952,791 "
2013,02,October,03,2012,Plant W,3B,1163,00092910,00009995," 644,320 "
2013,02,October,04,2012,Plant A,1C,1112,00064724,00007129," 429,359 "
2013,02,October,04,2012,Plant T,1E,1123,00243373,00009995," 644,320 "
2013,02,October,04,2012,Plant T,3A,1116,00086114,00010270," 855,298 "
2013,02,October,04,2012,Plant W,4E,1110,00092910,00009995," 644,902 "
2013,02,October,05,2012,Plant N,2E,1110,00072080,00007129," 431,206 "
2013,02,October,05,2012,Plant T,1A,1123,00243373,00009995," 647,671 "
2013,02,October,05,2012,Plant T,1B,1123,00243373,00009995," 641,405 "
2013,02,October,05,2012,Plant T,3G,1131,00086118,00010270," 274,965 "
2013,02,October,05,2012,Plant W,2C,1116,00092990,00009995," 600,115 "
2013,02,October,06,2012,Plant T,3A,1131,00086118,00010270," 860,736 "
2013,02,October,06,2012,Plant T,3C,1149,00013472,00009995," 644,465 "
2013,02,October,06,2012,Plant W,4F,1130,00092900,00009995," 644,757 "
2013,02,October,07,2012,Plant A,3C,1160,00244317,00007129," 427,901 "
2013,02,October,07,2012,Plant R,1F,1162,00092953,00009995," 643,591 "
2013,02,October,08,2012,Plant N,2G,1116,00108347,00007129," 429,748 "
2013,02,October,08,2012,Plant R,1E,1133,00104970,00009995," 515,683 "
2013,02,October,09,2012,Plant A,1D,1160,00045325,00007129," 418,375 "
2013,02,October,09,2012,Plant M,42,1160,00356604,00007119," 389,160 "
2013,02,October,09,2012,Plant M,43,1160,00356604,00007119," 389,424 "
2013,02,October,10,2012,Plant A,3G,1158,00244315,00007129," 427,026 "
2013,02,October,10,2012,Plant M,42,1160,00356604,00007119," 390,041 "
2013,02,October,10,2012,Plant X,1A,1155,00121250,00010270," 854,327 "
2013,02,October,11,2012,Plant R,1K,1133,00086301,00009995," 643,008 "
2013,02,October,11,2012,Plant W,2F,1122,00067663,00009995," 641,405 "
2013,02,October,12,2012,Plant A,3E,1158,00244304,00007129," 427,610 "
2013,02,October,12,2012,Plant R,1A,1124,00086301,00009995," 642,134 "
2013,02,October,12,2012,Plant R,2G,1130,00126529,00009995," 643,008 "
2013,02,October,12,2012,Plant W,4A,1117,00092900,00009995," 643,883 "
2013,02,October,13,2012,Plant M,13,1126,00020679,00007119," 389,248 "
2013,02,October,13,2012,Plant W,3G,1110,00092900,00009995," 410,459 "
2013,02,October,13,2012,Plant X,5B,1133,00024729,00010270," 860,542 "
2013,02,October,15,2012,Plant R,2B,1112,00132191,00009995," 642,280 "
2013,02,October,16,2012,Plant T,1B,1149,00120816,00009995," 643,591 "
2013,02,October,17,2012,Plant X,5D,1155,00356499,00010270," 852,773 "
2013,02,October,18,2012,Plant W,1C,1112,00102122,00009995," 641,843 "
2013,02,October,18,2012,Plant X,5A,1131,00086088,00010270," 635,584 "
2013,02,October,19,2012,Plant X,5A,1131,00086088,00010270," 372,688 "
2013,02,October,21,2012,Plant R,2F,1156,00092994,00009995," 639,657 "
2013,02,October,21,2012,Plant R,2G,1156,00092994,00009995," 623,046 "
2013,02,October,22,2012,Plant N,1C,1136,00008965,00007129," 421,583 "
2013,02,October,22,2012,Plant R,2C,1116,00092994,00009995," 708,431 "
2013,02,October,23,2012,Plant C,41,1112,00068678,00007960," 483,804 "
